dataset_idx,visual_cued_base,question_base,ans_orig_base,ans_blank_base,same_orig_blank_base,swap_k_base,swap_same_rate_base,mdi_orig_base,aei_t_orig_base,aei_o_orig_base,at_orig_base,ao_orig_base,mdi_blank_base,aei_t_blank_base,aei_o_blank_base,at_blank_base,ao_blank_base,effrank_text_orig_base,effrank_image_orig_base,cka_ti_orig_base,effrank_text_blank_base,effrank_image_blank_base,cka_ti_blank_base,visual_cued_reg,question_reg,ans_orig_reg,ans_blank_reg,same_orig_blank_reg,swap_k_reg,swap_same_rate_reg,mdi_orig_reg,aei_t_orig_reg,aei_o_orig_reg,at_orig_reg,ao_orig_reg,mdi_blank_reg,aei_t_blank_reg,aei_o_blank_reg,at_blank_reg,ao_blank_reg,effrank_text_orig_reg,effrank_image_orig_reg,cka_ti_orig_reg,effrank_text_blank_reg,effrank_image_blank_reg,cka_ti_blank_reg,dominant_base,dominant_reg,dominance_transition
0,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,256.31584510562925,9.660781662082154,0.0376909264353161,0.9660781662082156,0.0339218337917845,272.7968366967464,9.68062097128204,0.0354865587464398,0.968062097128204,0.0319379028717958,30.388765689290853,19.325321764573182,0.2670274674892425,30.76198101372111,9.95948707546493,0.2081593126058578,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,259.1179398398615,9.664326825524045,0.0372970193862174,0.9664326825524044,0.0335673174475957,275.78559109618965,9.683972775260242,0.0351141360821952,0.9683972775260244,0.0316027224739756,33.17605670244557,19.736266378163126,0.289949357509613,33.98452828854008,9.976296272199704,0.2268235683441162,1,1,keep
1,0,Which of the following could Wendy's test show?,c,c,1,4,1.0,143.75505275772892,5.847119897290307,0.0406741869946268,0.9660458960740508,0.0339541039259493,160.86073859411084,5.868308173186731,0.0364806740567929,0.9695465677438946,0.0304534322561054,29.63027984926332,18.65022146433276,0.2275124192237854,29.48593230470605,9.9613156289078,0.2263123840093612,0,Which of the following could Wendy's test show?,c,c,1,4,1.0,141.6337039879855,5.84414782800133,0.0412624090414035,0.96555485853935,0.0344451414606499,158.85755904416973,5.866055519611065,0.0369265117436434,0.9691743901966108,0.0308256098033893,30.52427044672896,18.938207101771223,0.2293515354394912,30.247284854388013,9.97558035903945,0.2237943857908249,0,0,none
2,1,Does this passage describe the weather or the climate?,b,b,1,4,1.0,277.53075692109576,10.715111720611668,0.0386087359811369,0.9648678800550792,0.0351321199449207,288.94066847412176,10.729997706076816,0.0371356436694816,0.966208324243884,0.033791675756116,30.37746520664762,13.445766306592288,0.1994569599628448,27.106044989811107,9.95948707546493,0.187373861670494,1,Does this passage describe the weather or the climate?,b,b,1,4,1.0,256.57703936323225,10.684456806714726,0.0416422951688553,0.9621074849648332,0.0378925150351669,283.89064965773355,10.723551706284944,0.0377735290655523,0.965627878764995,0.034372121235005,32.0986169168392,13.778535231976598,0.2439201772212982,30.30310293721617,9.976296272199704,0.2172040194272995,1,1,keep
3,1,Which animal's feet are also adapted for grabbing prey?,b,b,1,4,1.0,255.6096125957599,9.406119809549088,0.0367987718225003,0.9669842794863548,0.0330157205136452,264.3709107454311,9.416422757844218,0.0356182256636832,0.9680434610867888,0.0319565389132111,33.41062420972207,15.367406155767071,0.207382783293724,32.475320528328616,9.9613156289078,0.1922644674777984,1,Which animal's feet are also adapted for grabbing prey?,b,b,1,4,1.0,264.14136765499245,9.416161264026002,0.0356481884970206,0.9680165785447292,0.0319834214552708,264.4821211477972,9.416549289914313,0.0356037271973184,0.9680564690566116,0.0319435309433885,36.13275114403808,15.549920243352911,0.2238103300333023,35.73019610363856,9.97558035903945,0.208462581038475,1,1,keep
4,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",a,a,1,4,1.0,188.6480832545682,7.506816528982116,0.0397926997161808,0.9653243645438424,0.0346756354561575,223.03842834821543,7.547168552269273,0.0338379740574856,0.9705133539226752,0.0294866460773248,27.88817390116155,19.730060809237845,0.2498018741607666,28.6770451722237,9.9613156289078,0.1719947904348373,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",b,b,1,4,1.0,197.4123913785296,7.518390770786531,0.0380846952832375,0.966812731492973,0.0331872685070269,230.3153978600878,7.554206431449422,0.0327993981368039,0.9714183762075655,0.0285816237924343,29.036700158574867,20.097521987982024,0.2723383605480194,29.635416119889115,9.97558035903945,0.1787311881780624,0,0,none
5,0,What is the capital of Massachusetts?,d,d,1,4,1.0,225.23206486325213,9.244168818177895,0.0410428631633351,0.9632337648801228,0.0367662351198772,249.40801551356088,9.277231700944922,0.0371970070081428,0.9666788864126123,0.0333211135873876,29.35757065606124,10.119305335521917,0.1440663337707519,29.185680857268448,9.9613156289078,0.1784886419773101,0,What is the capital of Massachusetts?,d,d,1,4,1.0,235.6382920998529,9.25920266736107,0.0392941341784867,0.9648002779365344,0.0351997220634655,253.3584485835323,9.282054208588326,0.0366360555982329,0.967181387209048,0.032818612790952,32.54209260985435,10.363121536684542,0.160532146692276,32.32626785560626,9.97558035903945,0.1889733374118805,0,0,none
6,0,Is Lithops bromfieldii made up of many cells?,a,a,1,4,1.0,232.4315927194835,10.17955902014023,0.0437959354020592,0.960335756617003,0.039664243382997,286.0210394824894,10.255775515240256,0.0358567171624733,0.9675259920037976,0.0324740079962023,29.11209814172687,19.15130543119921,0.2600444853305816,28.432293567782708,9.95948707546493,0.1962464600801468,0,Is Lithops bromfieldii made up of many cells?,a,b,0,4,0.0,226.37951052931132,10.168776120554922,0.0449191541088621,0.9593185019391436,0.0406814980608563,288.1708501750791,10.25826070637818,0.0355978430856061,0.9677604439979416,0.0322395560020583,31.83549236426737,19.27162678931091,0.2899278998374939,30.765200908230312,9.976296272199704,0.2123557478189468,0,0,none
7,0,Which bird's beak is also adapted to tear through meat?,b,b,1,4,1.0,232.31557290233675,9.375084045788611,0.0403549530867214,0.9637936869502312,0.0362063130497687,261.68871009946906,9.41333950078196,0.0359715155354004,0.967726490734594,0.032273509265406,32.14715770478279,10.509362747311686,0.1619527041912078,31.52608192361145,9.9613156289078,0.2122207581996917,0,Which bird's beak is also adapted to tear through meat?,b,b,1,4,1.0,223.08779317023877,9.361064596430174,0.0419613483257092,0.9623524351470272,0.0376475648529728,264.9204519558651,9.41704700885402,0.0355466969021435,0.968107636424245,0.0318923635757549,34.8446546579107,10.511723313330014,0.1742301732301712,34.85356986702613,9.97558035903945,0.2249475866556167,0,0,none
8,1,Which of these states is farthest north?,d,a,0,4,0.0,196.27838550578204,9.194303421801548,0.0468431783668339,0.9580378371084038,0.0419621628915962,254.9974886497991,9.28401264560848,0.0364082512920693,0.9673854545190794,0.0326145454809205,27.423280537126253,8.86543405112396,0.1521958261728286,26.827309135574037,9.9613156289078,0.1636193394660949,1,Which of these states is farthest north?,d,c,0,4,0.0,202.673703416745,9.20649379116249,0.0454252013751964,0.9593080622206638,0.0406919377793362,254.59975166837424,9.283539643665696,0.0364632706152748,0.967336168158012,0.032663831841988,29.64463820658955,8.989162180231135,0.1671795696020126,29.57055402977841,9.97558035903945,0.1742227971553802,0,0,none
9,1,Which property do these three objects have in common?,c,b,0,4,0.25,183.97859826849577,9.662668684873417,0.0525206125919703,0.9526574759734352,0.0473425240265648,254.81631453639343,9.791535030094048,0.0384258560834635,0.9653626086008216,0.0346373913991784,30.80653935067923,6.793308066433175,0.1864449679851532,30.03442509160204,9.95948707546493,0.1798175275325775,1,Which property do these three objects have in common?,c,b,0,4,0.0,177.1240823940202,9.644998026751404,0.0544533408240652,0.9509152984121102,0.0490847015878898,249.3889252522525,9.784159682071351,0.0392325347734461,0.9646354616126684,0.0353645383873317,32.5122665591159,6.862853116387451,0.1942723095417022,32.52568722395094,9.976296272199704,0.1959056109189987,0,0,none
10,0,Identify the question that Tyrone and Quincy's experiment can best answer.,a,b,0,4,0.0,133.2086895395504,5.673455416485672,0.0425907306505045,0.964650920958659,0.0353490790413409,159.6471847850073,5.706863460903803,0.0357467215509568,0.970331251277592,0.0296687487224079,31.40564421832786,13.618851377988555,0.1977854520082473,31.29003794460604,9.9613156289078,0.2716104388236999,0,Identify the question that Tyrone and Quincy's experiment can best answer.,b,b,1,4,1.0,132.10358990307367,5.671778219163426,0.0429343231574924,0.9643657490796604,0.0356342509203395,160.39280433310256,5.707650668035201,0.0355854534233443,0.970465099176014,0.029534900823986,31.98421135436746,13.673858982260402,0.1977953463792801,31.67800758353796,9.97558035903945,0.2616846859455108,0,0,none
11,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,229.8545801563509,9.371451188637598,0.0407712179686085,0.9634202156543324,0.0365797843456675,262.6463167060324,9.414447289245588,0.0358445814406098,0.96784037552992,0.0321596244700798,31.806230523937955,10.213013678051016,0.1822093576192855,31.358163271983493,9.9613156289078,0.1978827267885208,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,225.70292079989733,9.36514974001498,0.041493258956617,0.96277240317911,0.0372275968208901,265.72640819312363,9.417958012677612,0.0354423110473568,0.9682012910229322,0.0317987089770678,34.053940640993574,10.199875720639485,0.1890984028577804,34.078404129289744,9.97558035903945,0.2166217267513275,1,1,keep
12,1,Which property do these two objects have in common?,b,a,0,4,0.0,229.1727352612527,10.32295603882358,0.0450444335232792,0.9591407973080176,0.0408592026919824,272.9991351784045,10.391115569111935,0.038062814969437,0.9654737300434711,0.0345262699565286,30.110295975153964,8.174007486184113,0.1769563853740692,28.80493103265586,9.95948707546493,0.2068129479885101,1,Which property do these two objects have in common?,b,b,1,4,0.5,235.235906044138,10.333839017250318,0.0439296839969292,0.9601519716815256,0.0398480283184743,232.7347851216183,10.329415619629907,0.044382775072631,0.9597409788317552,0.0402590211682448,31.77799565744308,8.7619209114647,0.1865399479866027,31.844647428857517,9.976296272199704,0.2107938081026077,0,0,none
13,0,"Based on the arrows, which of the following organisms is a consumer?",a,a,1,4,1.0,200.9469951556431,8.759053626804706,0.0435888758626144,0.9611944474546122,0.0388055525453877,242.08988420216863,8.817202705565611,0.0364211942792388,0.9675755673804612,0.0324244326195387,30.40180268313124,11.349611146540026,0.1856714338064193,29.212754657766336,9.9613156289078,0.1838622838258743,0,"Based on the arrows, which of the following organisms is a consumer?",a,a,1,4,1.0,196.1095347328329,8.750677287615765,0.0446213760056956,0.9602752510366604,0.0397247489633395,229.1944368225276,8.801146460977119,0.0384003494281675,0.9658135992726052,0.0341864007273948,33.42173025988833,11.556895991018717,0.1909730285406112,32.19485078276454,9.97558035903945,0.2135262340307235,0,0,none
