dataset_idx,visual_cued,question,ans_orig,ans_blank,same_orig_blank,swap_k,swap_same_rate,mdi_orig,aei_t_orig,aei_o_orig,at_orig,ao_orig,context_len_orig,num_text_tokens_orig,num_image_tokens_orig,mdi_blank,aei_t_blank,aei_o_blank,at_blank,ao_blank,effrank_text_orig,effrank_img_orig,effrank_text_blank,effrank_img_blank,cka_tv_orig,cos_tv_orig,cka_text_orig_blank,cka_img_orig_blank,mi_nce_orig,nce_loss_orig
1,1,Which animal's mouth is also adapted for bottom feeding?,fish,pig,0,4,0.0,235.34343321357815,14.201051480773895,0.06034182168102477,0.9436679265992378,0.056332073400762184,617,41,576,255.46755259829163,14.264349313406274,0.055836246788789505,0.9478741034840474,0.052125896515952605,24.425873214775898,34.91621504948917,24.59512531700552,20.022138165167306,0.3166898190975189,0.7746272087097168,nan,nan,0.03470350785931675,2.7985098361968994
3,0,Which of the following could Wendy's test show?,blood,blood,1,4,0.0,220.54433324575442,14.456116838672434,0.0655474417588588,0.9387088856280801,0.06129111437191991,616,40,576,278.7588845239249,14.643550130298365,0.052531240951502516,0.9508798785908028,0.04912012140919716,23.827605257976852,55.4029686861943,23.949333953867775,20.022138165167306,0.31393834948539734,0.6834889054298401,nan,nan,0.05692054315289585,2.7762928009033203
5,1,Does this passage describe the weather or the climate?,weather,weather,1,4,0.25,207.13042759467217,15.409421858395593,0.07439477645722756,0.9300956097237144,0.0699043902762856,613,37,576,238.7503231204632,15.55341662898994,0.06514511237391017,0.9387869743436016,0.06121302565639846,22.267791517038603,49.61165699921452,22.221555242151513,20.022138165167306,0.2867247462272644,0.7083619832992554,nan,nan,-0.028985724013241843,2.862199068069458
7,1,Which animal's feet are also adapted for grabbing prey?,eagle,panda,0,4,0.0,179.78641902586867,13.397166030204414,0.07451711927293438,0.9306593526636345,0.06934064733636543,619,43,576,245.00050931706608,13.649087961802374,0.0557104472960033,0.9481595837762554,0.05184041622374459,25.945436855405497,34.81945017238288,25.950522142280214,20.022138165167306,0.3509989082813263,0.7625008821487427,nan,nan,0.03648973985394566,2.7967236042022705
8,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",true,true,1,4,1.0,187.25088876747782,9.415934867714123,0.05028512777531609,0.9548139881457378,0.045186011854262194,641,65,576,237.7946925864725,9.50724616575675,0.039980901433700006,0.9640733241407001,0.03592667585929985,31.31414343336622,33.816049782816286,32.09612216622854,20.022138165167306,0.2828439474105835,0.7552357316017151,nan,nan,-0.011516556303891257,2.8447299003601074
9,0,What is the capital of Massachusetts?,boston,boston,1,4,1.0,313.43518048684916,17.021181349032492,0.05430526759183196,0.9487215833886964,0.051278416611303626,610,34,576,385.41598987923595,17.18576644661481,0.04459017502620921,0.9578951789916451,0.04210482100835493,21.152922552117353,39.75359022571625,21.153779921947915,20.022138165167306,0.2784701883792877,0.6336491107940674,nan,nan,-0.010868773024472311,2.8440821170806885
12,0,Is Lithops bromfieldii made up of many cells?,yes,yes,1,4,1.0,275.38173929576027,14.634734388236712,0.053143445261339545,0.9503074278075786,0.04969257219242139,616,40,576,369.73914639861664,14.822709187337336,0.040089639768240655,0.9625135835933334,0.037486416406666584,24.161185909118426,40.03951258754706,23.920749804858865,20.022138165167306,0.3342399299144745,0.6609063744544983,nan,nan,0.022492185074892923,2.8107211589813232
13,0,Which bird's beak is also adapted to tear through meat?,vulture,vulture,1,4,1.0,179.5456125765248,13.395920214615078,0.07461012286727725,0.9305728097390118,0.0694271902609882,619,43,576,240.41232697888915,13.63559750704286,0.05671754721728647,0.9472224439464345,0.05277755605356544,26.139492274703926,33.72144945138894,26.257345184508164,20.022138165167306,0.2211642861366272,0.7731357216835022,nan,nan,-0.04316090063372524,2.8763742446899414
17,1,Which of these states is farthest north?,alaska,alaska,1,4,0.75,151.055180694847,14.684366454221008,0.0972119353118085,0.9088044385348507,0.09119556146514933,614,38,576,251.08635130559915,15.237988781199459,0.06068824012920234,0.9430677095856342,0.05693229041436571,22.523585131761852,40.899691196702605,22.573119078930773,20.022138165167306,0.22288885712623596,0.7165663838386536,nan,nan,0.002122178513613626,2.8310911655426025
19,1,Which property do these three objects have in common?,color,color,1,4,0.5,170.72222747699695,14.840273117741443,0.0869264262601132,0.9184533851370925,0.08154661486290748,614,38,576,247.83702517316874,15.226623259530559,0.06143804885041454,0.942364305964432,0.057635694035568036,22.509648818180143,29.742022919069495,22.924636501222956,20.022138165167306,0.2585080564022064,0.7159709334373474,nan,nan,-0.0023085923604098113,2.835521936416626
