dataset_idx,visual_cued_base,question_base,ans_orig_base,ans_blank_base,same_orig_blank_base,swap_k_base,swap_same_rate_base,mdi_orig_base,aei_t_orig_base,aei_o_orig_base,at_orig_base,ao_orig_base,mdi_blank_base,aei_t_blank_base,aei_o_blank_base,at_blank_base,ao_blank_base,effrank_text_orig_base,effrank_image_orig_base,cka_ti_orig_base,effrank_text_blank_base,effrank_image_blank_base,cka_ti_blank_base,visual_cued_reg,question_reg,ans_orig_reg,ans_blank_reg,same_orig_blank_reg,swap_k_reg,swap_same_rate_reg,mdi_orig_reg,aei_t_orig_reg,aei_o_orig_reg,at_orig_reg,ao_orig_reg,mdi_blank_reg,aei_t_blank_reg,aei_o_blank_reg,at_blank_reg,ao_blank_reg,effrank_text_orig_reg,effrank_image_orig_reg,cka_ti_orig_reg,effrank_text_blank_reg,effrank_image_blank_reg,cka_ti_blank_reg,dominant_base,dominant_reg,dominance_transition
0,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,245.30802619398636,9.646098468275053,0.0393223924138831,0.9646098468275052,0.0353901531724948,259.9083747987176,9.665313510345795,0.037187387739356,0.9665313510345797,0.0334686489654204,31.46549786615636,19.48617237050309,0.274724006652832,31.826871095464707,9.835158182178022,0.2057990878820419,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,211.17387127761768,9.59123214994699,0.04541865000589,0.959123214994699,0.040876785005301,219.38937666508744,9.605936137161155,0.0437848736487603,0.9605936137161156,0.0394063862838843,32.27247029105649,16.939137935270818,0.2681234180927276,32.922493665889505,9.574276139168502,0.2361583262681961,1,1,keep
1,0,Which of the following could Wendy's test show?,c,c,1,4,1.0,131.5480681123084,5.828754852688688,0.0443089354053639,0.9630116713137832,0.0369883286862168,149.99503379451832,5.855390831220785,0.0390372313208864,0.9674123982016948,0.0325876017983051,29.401699948455214,18.72317172770662,0.2243667542934417,29.46233503193528,9.835158182178022,0.2174631953239441,0,Which of the following could Wendy's test show?,c,c,1,4,1.0,114.8659275857359,5.79761085767998,0.0504728510841706,0.9578661417036488,0.0421338582963511,127.7846451728986,5.822412184216375,0.0455642552071759,0.9619637521748792,0.0380362478251207,29.799309890736573,17.955227155773546,0.2237326353788375,29.42638519391517,9.574276139168502,0.2302828431129455,0,0,none
2,1,Does this passage describe the weather or the climate?,a,a,1,4,0.5,244.00728971896825,10.66364150096471,0.0437021431337006,0.9602331209399502,0.0397668790600498,273.6459450975992,10.709770192990236,0.0391373246520077,0.9643868894161824,0.0356131105838175,30.15109948795617,13.338468481357044,0.193403422832489,28.660490398500407,9.835158182178022,0.1957150846719741,1,Does this passage describe the weather or the climate?,b,b,1,4,1.0,220.9768314803877,10.61962792586232,0.0480576531698746,0.9562698132293084,0.0437301867706916,234.22377174079207,10.645957915295416,0.0454520812988912,0.9586407601450848,0.0413592398549152,31.39980436387848,13.16346918515127,0.2041770368814468,29.70930155011798,9.574276139168502,0.2059448659420013,0,1,new
3,1,Which animal's feet are also adapted for grabbing prey?,b,b,1,4,1.0,257.4371748562204,9.40832493858716,0.036546100786888,0.9672109749949416,0.0327890250050584,251.98604126066263,9.401656207406774,0.0373102262346404,0.9665254044997618,0.0334745955002381,34.35787123724345,15.357919648434246,0.2110786288976669,33.79967100555614,9.835158182178022,0.1840869635343551,1,Which animal's feet are also adapted for grabbing prey?,b,b,1,4,1.0,224.59943236997896,9.36343712625103,0.0416894959504029,0.9625963400818816,0.0374036599181185,211.68008998950236,9.342110630430444,0.0441331569298451,0.9604038965863072,0.0395961034136928,35.387505459043936,13.968347147597992,0.2032784968614578,34.775214144169176,9.574276139168502,0.1908655613660812,1,1,keep
4,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",a,a,1,4,1.0,179.92893476318912,7.494223675660562,0.0416510200848128,0.9637050112422813,0.0362949887577188,214.57245129854297,7.538398390854508,0.0351321819051507,0.9693855721976296,0.0306144278023703,28.77513406988229,19.802711304866843,0.258180558681488,29.284846224300413,9.835158182178022,0.1688960641622543,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",a,a,1,4,1.0,157.4366886854342,7.455564368206781,0.0473559526083741,0.9587336933397526,0.0412663066602474,179.5559805398896,7.493658743586623,0.0417343867971128,0.9636323649090212,0.0363676350909788,29.67184770568414,20.33758642750825,0.2863714694976806,28.836044455963293,9.574276139168502,0.2053829133510589,0,0,none
5,0,What is the capital of Massachusetts?,d,d,1,4,1.0,214.47142716578577,9.22714781293441,0.0430227370371432,0.9614601920164938,0.0385398079835061,235.81985194353933,9.259453603974183,0.0392649453710585,0.9648264252974654,0.0351735747025345,30.90105068042406,10.14279780612616,0.1498913615942001,30.51054079255202,9.835158182178022,0.168193444609642,0,What is the capital of Massachusetts?,d,d,1,4,1.0,190.7815297563562,9.18320068731574,0.0481346422740369,0.9568809425352328,0.0431190574647671,205.33967555103183,9.211360270396778,0.0448591352142637,0.9598151448158384,0.0401848551841615,32.633991314594894,8.989633692917291,0.1523740887641906,32.00461642139386,9.574276139168502,0.1894596219062805,0,0,none
6,0,Is Lithops bromfieldii made up of many cells?,a,a,1,4,1.0,217.9520084300228,10.152805529153158,0.0465827573798793,0.9578118423729396,0.0421881576270605,273.16558449187386,10.24012593617833,0.0374868816480904,0.9660496166205972,0.0339503833794026,30.88470677776442,19.33429007055215,0.2709365785121918,29.958702528582933,9.835158182178022,0.2058704793453216,0,Is Lithops bromfieldii made up of many cells?,a,a,1,4,0.5,180.3545354335969,10.064292864775672,0.0558028265858673,0.949461591016573,0.050538408983427,229.3510302433045,10.17413868483268,0.0443605536632626,0.959824404229498,0.040175595770502,32.38000841937496,18.05477523671975,0.273479163646698,31.059774662198286,9.574276139168502,0.1981562823057174,0,0,none
7,0,Which bird's beak is also adapted to tear through meat?,b,b,1,4,1.0,212.73713550336063,9.34394900197659,0.0439225101901824,0.960592888053668,0.0394071119463319,250.65046339595295,9.399979555343968,0.0375023426168369,0.9663530383998472,0.0336469616001527,33.093407617371,10.482324285988977,0.1604211032390594,32.98729867191889,9.835158182178022,0.20693901181221,0,Which bird's beak is also adapted to tear through meat?,b,b,1,4,1.0,181.77250798291848,9.281641967662464,0.0510618578720093,0.9541874920026832,0.0458125079973167,209.60953887076604,9.338458026892477,0.0445516844185705,0.9600283952880114,0.0399716047119885,34.271321973041644,9.833488766156483,0.1464310437440872,33.88725898379179,9.574276139168502,0.1986731886863708,0,0,none
8,1,Which of these states is farthest north?,d,b,0,4,0.5,183.91266799748675,9.168435545365936,0.0498521153827817,0.9553424285218004,0.0446575714781994,230.28701988953773,9.251635291207178,0.0401743671686095,0.9640117644026142,0.0359882355973858,28.30917343135256,8.873076197720042,0.16557677090168,28.175896621088643,9.835158182178022,0.1579257845878601,1,Which of these states is farthest north?,d,b,0,4,0.25,162.46021240909468,9.114686982624836,0.0561041183405136,0.949741878438358,0.0502581215616421,196.93473759197232,9.195589454408502,0.0466935877684554,0.958171840506018,0.0418281594939818,29.79460694444763,7.632081049182979,0.1622270196676254,29.51878769843165,9.574276139168502,0.1874378472566604,0,0,none
9,1,Which property do these three objects have in common?,c,b,0,4,0.25,173.43621914589406,9.6349419109338,0.0555532284916157,0.9499238503737548,0.0500761496262452,240.53197465543144,9.771435269015766,0.0406242674514006,0.9633809420156388,0.0366190579843611,31.141249975842097,6.848843293895306,0.1800094544887542,31.09590354708786,9.835158182178022,0.1790237575769424,1,Which property do these three objects have in common?,c,b,0,4,0.0,146.7546756025906,9.54801325890056,0.0650610498077514,0.9413534198916044,0.0586465801083957,205.96465828282325,9.711748570504213,0.0471525001011017,0.957496337937035,0.0425036620629649,32.70424739116804,5.678645939483272,0.1619611978530883,32.17736227097092,9.574276139168502,0.1874590367078781,0,0,none
