dataset_idx,question,visual_cued,pred_orig,p_orig,pred_blank,p_blank,pred_blur,p_blur,pred_lowres,p_lowres,pred_crop,p_crop,swap_k,swap_same_rate,swap_mean_kl,swap_mean_js,kl_blank,js_blank,kl_blur,js_blur,kl_lowres,js_lowres,kl_crop,js_crop,delta_p_blank,delta_p_blur,delta_p_lowres,delta_p_crop,same_orig_blank,unexpected_dominance
1,Which animal's mouth is also adapted for bottom feeding?,1,fish,0.5590953230857849,elephant,0.1425655633211136,dog,0.2754285931587219,dog,0.2570507228374481,fish,0.5172029733657837,8,0.0,1.5101247280836105,0.2946444218978286,2.394899368286133,0.35658854246139526,1.2600867748260498,0.25704850256443024,1.477832555770874,0.2854243516921997,0.07404528558254242,0.01807347033172846,-0.5492623439058661,-0.5032078102231026,-0.5187172032892704,-0.04189234972000122,0,0
3,Which of the following could Wendy's test show?,0,left,0.33098164200782776,left,0.35741734504699707,left,0.2998653054237366,left,0.3331252336502075,left,0.41911086440086365,8,0.75,0.25805181078612804,0.05861913692206144,0.11324232816696167,0.025154903531074524,0.07652134448289871,0.019063429906964302,0.047281764447689056,0.011361197102814913,0.08898735791444778,0.019833102822303772,0.02643570303916931,-0.031116336584091187,0.0021435916423797607,0.08812922239303589,1,0
5,Does this passage describe the weather or the climate?,1,sunny,0.5360276699066162,cold,0.3760797679424286,sunny,0.4841713607311249,sunny,0.6019360423088074,sunny,0.5889706611633301,8,0.125,0.9410891886800528,0.22827828396111727,0.9494422078132629,0.2505260556936264,0.04795005917549133,0.011175845749676228,0.041921064257621765,0.009465395472943783,0.03306719660758972,0.007839247584342957,-0.38890132308006287,-0.05185630917549133,0.06590837240219116,0.05294299125671387,0,0
7,Which animal's feet are also adapted for grabbing prey?,1,eagle,0.5838350057601929,horse,0.06545178592205048,duck,0.2447986751794815,eagle,0.3201301693916321,eagle,0.6291172504425049,8,0.0,2.688300371170044,0.375771701335907,2.658935546875,0.3853442221879959,0.7270000576972961,0.1711307018995285,0.2636130154132843,0.06961658224463463,0.06442607939243317,0.015056097880005836,-0.5755754318088293,-0.44765983521938324,-0.2637048363685608,0.04528224468231201,0,0
8,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",0,no,0.8300617933273315,no,0.2345234602689743,no,0.48344069719314575,no,0.41061878204345703,no,0.6784138083457947,8,1.0,0.41326627880334854,0.11015261779539287,0.8360863924026489,0.2074461132287979,0.29295799136161804,0.08120648935437202,0.438943475484848,0.12201765924692154,0.06548058241605759,0.01775494311004877,-0.5955383330583572,-0.3466210961341858,-0.4194430112838745,-0.15164798498153687,1,0
9,What is the capital of Massachusetts?,0,no,0.13288484513759613,unknown,0.10568177700042725,no,0.10039104521274567,no,0.08540978282690048,no,0.14562471210956573,8,0.75,0.6389462717925198,0.127774983553536,0.2741868197917938,0.06326448172330856,0.08416431397199631,0.020804054103791714,0.15953274071216583,0.03782947361469269,0.11712220311164856,0.028075729496777058,-0.05722567439079285,-0.032493799924850464,-0.04747506231069565,0.012739866971969604,0,0
12,Is Lithops bromfieldii made up of many cells?,0,yes,0.9177603721618652,no,0.8281543254852295,no,0.9089714288711548,no,0.7623028755187988,yes,0.9943721294403076,8,0.875,0.9177949597506085,0.08838319053211308,1.355650782585144,0.31901368498802185,1.9314261674880981,0.39959849417209625,1.0607162714004517,0.2655339986085892,0.1475035399198532,0.02079178811982274,-0.7473990023136139,-0.827528290450573,-0.6810775101184845,0.07661175727844238,0,0
13,Which bird's beak is also adapted to tear through meat?,0,right,0.2063066065311432,left,0.2411644160747528,right,0.27362388372421265,right,0.2757740318775177,right,0.2049844115972519,8,0.0,1.2005756050348282,0.16471656411886215,1.2392209768295288,0.15028319507837296,0.09428297728300095,0.021276693791151047,0.0786060243844986,0.017988585866987705,0.02699870988726616,0.006654579658061266,-0.10403745621442795,0.06731727719306946,0.06946742534637451,-0.0013221949338912964,0,0
17,Which of these states is farthest north?,1,north,0.12685589492321014,unknown,0.08375333249568939,unknown,0.11441151052713394,unknown,0.09976815432310104,north,0.12013392895460129,8,0.0,0.4182411627843976,0.09538741630967706,0.39925986528396606,0.09943176060914993,0.06306909024715424,0.01494869589805603,0.07494309544563293,0.01886746473610401,0.04905625805258751,0.012461192440241575,-0.09406939893960953,-0.02033926546573639,-0.03473749756813049,-0.006721965968608856,0,0
19,Which property do these three objects have in common?,1,new york,0.04130006209015846,farm,0.21368947625160217,farm,0.041673868894577026,fire,0.06278163939714432,kitchen,0.050382088869810104,8,0.0,1.5205985456705093,0.2843244085088372,1.5761150121688843,0.2966277450323105,0.4056967496871948,0.095817431807518,0.9231789112091064,0.19382169097661972,0.7573758363723755,0.16540762782096863,-0.03595888987183571,-0.03207058645784855,-0.03922391729429364,-0.03323492035269737,0,0
21,Identify the question that Tyrone and Quincy's experiment can best answer.,0,no,0.8308162689208984,no,0.29531705379486084,no,0.29956674575805664,no,0.1914380043745041,no,0.4665248692035675,8,0.875,0.7612269064411521,0.18756244133692235,0.6547124981880188,0.16841988265514374,0.6347802877426147,0.16277682781219482,0.9964922070503235,0.23776821792125702,0.29648780822753906,0.07969537749886513,-0.5354992151260376,-0.5312495231628418,-0.6393782645463943,-0.36429139971733093,1,0
22,Which animal's mouth is also adapted for bottom feeding?,1,dog,0.1231723427772522,elephant,0.14256541430950165,fish,0.3498278856277466,fish,0.44187602400779724,fish,0.16634207963943481,8,0.0,0.775037344545126,0.16487148450687528,0.6191938519477844,0.136287622153759,0.5053683519363403,0.12461398914456367,0.6269633769989014,0.1546376645565033,0.18771103024482727,0.045848170295357704,-0.0031864196062088013,-0.08216756209731102,-0.09323508106172085,-0.07012255862355232,0,0
24,Which property do these two objects have in common?,1,florida,0.1120651364326477,farm,0.18373966217041016,farm,0.12301565706729889,farm,0.09281425923109055,school bus,0.11007950454950333,8,0.0,1.543149784207344,0.2621434675529599,1.4686200618743896,0.2382529079914093,0.37151792645454407,0.08223649486899376,0.47266894578933716,0.10540220513939857,0.2019396275281906,0.05043991841375828,-0.1093908145558089,-0.05002741515636444,-0.05222624912858009,-0.04127417504787445,0,0
25,"Based on the arrows, which of the following organisms is a consumer?",0,yes,0.15094450116157532,yes,0.13921479880809784,yes,0.11856839805841446,yes,0.0747351422905922,yes,0.09760954231023788,8,0.875,0.5222061462700367,0.10760057205334306,0.4251108169555664,0.09508620575070381,0.16540321707725525,0.040093764662742615,0.4381513297557831,0.10081368312239647,0.24606922268867493,0.05858481489121914,-0.011729702353477478,-0.03237610310316086,-0.07620935887098312,-0.05333495885133743,1,0
29,What is the expected ratio of offspring with black eyes to offspring with red eyes? Choose the most likely ratio.,0,3,0.23638588190078735,3,0.2010195106267929,3,0.27003973722457886,3,0.2436809092760086,3,0.273128479719162,8,0.625,0.07729932153597474,0.019241643603891134,0.03222902864217758,0.008164759259670973,0.028666771948337555,0.006412246264517307,0.027446184307336807,0.006693826522678137,0.03579306975007057,0.008508719503879547,-0.035366371273994446,0.033653855323791504,0.0072950273752212524,0.036742597818374634,1,0
32,Identify the question that Reba and Donald's experiment can best answer.,0,no,0.5545653700828552,no,0.4517558813095093,no,0.4660571217536926,no,0.47478994727134705,no,0.5395805835723877,8,0.875,0.5343481041491032,0.10723678604699671,0.24501846730709076,0.048756690695881844,0.06742003560066223,0.016197970137000084,0.07799514383077621,0.018876779824495316,0.05212937295436859,0.014233102556318045,-0.10280948877334595,-0.0885082483291626,-0.07977542281150818,-0.01498478651046753,1,0
33,Which term matches the picture?,0,bottom,0.05185332149267197,flowers,0.06500110775232315,man,0.2239791303873062,man,0.2244710773229599,man,0.08264616131782532,8,0.0,1.2336912602186203,0.24535307846963406,0.713396430015564,0.1721493899822235,0.6166553497314453,0.1435706466436386,0.5577806234359741,0.13117410242557526,0.29774123430252075,0.07097449898719788,-0.04290901031345129,-0.040508401580154896,-0.03323527239263058,-0.018936604261398315,0,0
