dataset_idx,visual_cued_base,question_base,ans_orig_base,ans_blank_base,same_orig_blank_base,swap_k_base,swap_same_rate_base,mdi_orig_base,aei_t_orig_base,aei_o_orig_base,at_orig_base,ao_orig_base,mdi_blank_base,aei_t_blank_base,aei_o_blank_base,at_blank_base,ao_blank_base,effrank_text_orig_base,effrank_image_orig_base,cka_ti_orig_base,effrank_text_blank_base,effrank_image_blank_base,cka_ti_blank_base,visual_cued_reg,question_reg,ans_orig_reg,ans_blank_reg,same_orig_blank_reg,swap_k_reg,swap_same_rate_reg,mdi_orig_reg,aei_t_orig_reg,aei_o_orig_reg,at_orig_reg,ao_orig_reg,mdi_blank_reg,aei_t_blank_reg,aei_o_blank_reg,at_blank_reg,ao_blank_reg,effrank_text_orig_reg,effrank_image_orig_reg,cka_ti_orig_reg,effrank_text_blank_reg,effrank_image_blank_reg,cka_ti_blank_reg,dominant_base,dominant_reg,dominance_transition
0,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,246.4702318664978,9.647708465512991,0.0391435038318896,0.9647708465512992,0.0352291534487007,260.3093410782356,9.66581181462304,0.0371320205974398,0.966581181462304,0.0334188185376958,32.80314162299312,19.410536185065894,0.2830791175365448,33.0690047016033,9.701041469708189,0.212107241153717,1,Which animal's mouth is also adapted for bottom feeding?,b,b,1,4,1.0,246.06,9.64714184897671,0.0392064612248098,0.9647141848976712,0.0352858151023288,260.46310103745435,9.666002507751552,0.0371108324720498,0.9666002507751552,0.0333997492248448,31.80273486255842,19.4710234487324,0.2796088755130768,32.39037803353062,9.658703818320303,0.2174946814775467,1,1,keep
1,0,Which of the following could Wendy's test show?,c,c,1,4,1.0,132.53945847196755,5.830367948529319,0.0439896768535723,0.9632781828004962,0.0367218171995038,150.1655239893551,5.8556074786444485,0.038994353184953,0.9674481921238652,0.0325518078761346,29.52947305395712,18.638472910106536,0.2248469144105911,29.574756229339428,9.70108078923276,0.2186916172504425,0,Which of the following could Wendy's test show?,c,c,1,4,1.0,133.4920594614389,5.831896181424205,0.0436872140931261,0.9635306734526948,0.0364693265473052,150.39864213562032,5.855902940315072,0.0389358763959755,0.967497007530316,0.0325029924696839,29.51284836968088,18.580319481683453,0.2237760871648788,29.47429995961002,9.659682564043727,0.2164837419986724,0,0,none
2,1,Does this passage describe the weather or the climate?,b,b,1,4,1.0,246.4560988974689,10.667856660871296,0.0432850179346113,0.9606126851021546,0.0393873148978454,274.9092778598433,10.711523223618135,0.0389638476627885,0.9645447452547138,0.0354552547452862,31.39508086595066,13.418532477261229,0.2003148943185806,29.757166166430046,9.701041469708189,0.2001642137765884,1,Does this passage describe the weather or the climate?,b,b,1,4,1.0,244.92363491846072,10.665228293239515,0.0435451168148396,0.960376007448108,0.039623992551892,271.71930583114846,10.707066481676057,0.0394048794174736,0.9641434272599292,0.0358565727400708,30.774554449065256,13.237845555989953,0.1988683640956878,29.501029565702208,9.658703818320303,0.2032580226659774,1,1,keep
3,1,Which animal's feet are also adapted for grabbing prey?,b,b,1,4,1.0,258.3577922415265,9.409424321958909,0.0364201297755419,0.9673239957154016,0.0326760042845984,252.97361113315037,9.402884973088648,0.0371694301669257,0.9666517262053752,0.0333482737946249,35.53816485550979,15.382824143805356,0.2182524800300598,34.80746471971766,9.70108078923276,0.1937774270772934,1,Which animal's feet are also adapted for grabbing prey?,b,b,1,4,1.0,255.3421462872109,9.405794525441204,0.0368360439598619,0.9669508390640492,0.0330491609359509,253.7229107768407,9.40381110552789,0.0370633108249294,0.9667469360823064,0.0332530639176937,34.72329288827774,15.449180821599358,0.2169343680143356,34.23231986946397,9.659682564043727,0.20154869556427,1,1,keep
4,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",b,b,1,4,1.0,182.73104716127517,7.498397059294305,0.0410351561805277,0.964241679334366,0.0357583206656338,214.34872190908527,7.538157514874863,0.0351677278396468,0.96935459722294,0.0306454027770599,28.947456168249005,19.82512671292264,0.2605065703392029,29.563596331178488,9.70108078923276,0.1685604602098465,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",b,a,0,4,0.25,190.1317137386904,7.508848272781099,0.0394928764125114,0.965585632657176,0.0344143673428238,219.8969742359556,7.543990668664983,0.0343069325754799,0.9701047002065408,0.029895299793459,28.559693962463815,19.97622065105856,0.268019437789917,28.97888935703909,9.659682564043727,0.1679152250289917,0,0,none
5,0,What is the capital of Massachusetts?,d,d,1,4,1.0,215.8051594298212,9.229346114723077,0.0427670317943645,0.96168925301158,0.0383107469884198,237.84991846935253,9.262234210450158,0.0389415067705546,0.965116161897606,0.0348838381023941,31.599821266778942,10.13047715137517,0.1546389460563659,31.06344787214458,9.70108078923276,0.1740130633115768,0,What is the capital of Massachusetts?,d,d,1,4,1.0,219.76974303191915,9.235729065336136,0.042024570525137,0.962354350509364,0.0376456494906359,239.242899775154,9.264115841494108,0.0387226364928728,0.9653122260965866,0.0346877739034133,31.64209256590896,10.0762713319597,0.1541367769241333,31.153792739280803,9.659682564043727,0.1806099861860275,0,0,none
6,0,Is Lithops bromfieldii made up of many cells?,a,b,0,4,0.0,216.8475221798663,10.150624360909664,0.0468099624052431,0.9576060717839308,0.0423939282160692,273.00878257765083,10.239926264598518,0.0375076807709877,0.9660307796791054,0.0339692203208945,32.186469844982206,19.271658952334885,0.2849336564540863,30.970462979910742,9.701041469708189,0.2120273858308792,0,Is Lithops bromfieldii made up of many cells?,a,a,1,4,0.75,221.13733463305945,10.158979043587252,0.0459396829596611,0.9583942493950238,0.0416057506049761,275.7225652660903,10.243351026564971,0.0371509347328154,0.9663538704306576,0.0336461295693423,31.445069163496115,19.24829977212149,0.2835906744003296,30.579695607875777,9.658703818320303,0.2100719362497329,0,0,none
7,0,Which bird's beak is also adapted to tear through meat?,b,b,1,4,1.0,213.8215033764112,9.34581674503933,0.0437084979642433,0.9607848990227348,0.0392151009772651,250.89393479879163,9.400286489159075,0.037467173117189,0.9663845923434564,0.0336154076565434,34.25114574232903,10.480030289008424,0.1658274978399276,34.11906111114683,9.70108078923276,0.2158423960208892,0,Which bird's beak is also adapted to tear through meat?,b,b,1,4,1.0,213.65329858575876,9.34552821837868,0.0437415583107763,0.9607552374034156,0.0392447625965844,251.32124102190213,9.400823786036506,0.0374056078499836,0.9664398284710428,0.0335601715289573,33.72640234424451,10.408211900633926,0.1675106436014175,33.46671800615233,9.659682564043727,0.2232091128826141,0,0,none
8,1,Which of these states is farthest north?,d,d,1,4,1.0,186.0227035093465,9.173082133690794,0.0493116268102721,0.9558265986893986,0.0441734013106014,235.74346017859992,9.259348067201753,0.0392772213497962,0.9648154284642572,0.0351845715357428,29.36770052105797,8.837115846905116,0.172335997223854,29.154565535440067,9.70108078923276,0.1658350527286529,1,Which of these states is farthest north?,b,b,1,4,1.0,198.8261314018573,9.199249863887175,0.0462678109714568,0.9585532517580728,0.0414467482419271,245.21214474073025,9.271945173513108,0.0378119329420514,0.9661280351872136,0.0338719648127863,28.89290208980893,8.906763841656089,0.1605937480926513,28.58185957157007,9.659682564043727,0.1618878096342086,1,1,keep
9,1,Which property do these three objects have in common?,c,c,1,4,0.5,171.24543986738635,9.62877338346401,0.0562279111836239,0.9493156856936348,0.0506843143063652,242.5612737868526,9.774429761331778,0.0402967448543369,0.9636761736524286,0.0363238263475713,32.16164683558074,6.7992653233306015,0.1879215985536575,31.916483685265035,9.701041469708189,0.1838169395923614,1,Which property do these three objects have in common?,c,b,0,4,0.0,171.49086350891068,9.629471859406506,0.0561515153774134,0.9493845495189512,0.0506154504810487,239.4547375756948,9.769825802861517,0.0408003028120216,0.9632222622539524,0.0367777377460476,31.75712177975601,6.868305568948935,0.1936018168926239,31.70955549398957,9.658703818320303,0.1863883584737777,0,0,none
