dataset_idx,visual_cued,question,ans_orig,ans_blank,same_orig_blank,swap_k,swap_same_rate,mdi_orig,aei_t_orig,aei_o_orig,at_orig,ao_orig,context_len_orig,num_text_tokens_orig,num_image_tokens_orig,mdi_blank,aei_t_blank,aei_o_blank,at_blank,ao_blank
1,1,Which animal's mouth is also adapted for bottom feeding?,fish,pig,0,4,0.0,235.34343321357815,14.201051480773895,0.06034182168102477,0.9436679265992378,0.056332073400762184,617,41,576,255.46755259829163,14.264349313406274,0.055836246788789505,0.9478741034840474,0.052125896515952605
3,0,Which of the following could Wendy's test show?,blood,blood,1,4,0.0,220.54433324575442,14.456116838672434,0.0655474417588588,0.9387088856280801,0.06129111437191991,616,40,576,278.7588845239249,14.643550130298365,0.052531240951502516,0.9508798785908028,0.04912012140919716
5,1,Does this passage describe the weather or the climate?,weather,weather,1,4,0.75,207.13042759467217,15.409421858395593,0.07439477645722756,0.9300956097237144,0.0699043902762856,613,37,576,238.7503231204632,15.55341662898994,0.06514511237391017,0.9387869743436016,0.06121302565639846
7,1,Which animal's feet are also adapted for grabbing prey?,eagle,panda,0,4,0.0,179.78641902586867,13.397166030204414,0.07451711927293438,0.9306593526636345,0.06934064733636543,619,43,576,245.00050931706608,13.649087961802374,0.0557104472960033,0.9481595837762554,0.05184041622374459
8,0,"Is the following statement about our solar system true or false?
Jupiter's volume is more than 10,000 times as large as the volume of Mars.",true,true,1,4,1.0,187.25088876747782,9.415934867714123,0.05028512777531609,0.9548139881457378,0.045186011854262194,641,65,576,237.7946925864725,9.50724616575675,0.039980901433700006,0.9640733241407001,0.03592667585929985
9,0,What is the capital of Massachusetts?,boston,boston,1,4,1.0,313.43518048684916,17.021181349032492,0.05430526759183196,0.9487215833886964,0.051278416611303626,610,34,576,385.41598987923595,17.18576644661481,0.04459017502620921,0.9578951789916451,0.04210482100835493
12,0,Is Lithops bromfieldii made up of many cells?,yes,yes,1,4,1.0,275.38173929576027,14.634734388236712,0.053143445261339545,0.9503074278075786,0.04969257219242139,616,40,576,369.73914639861664,14.822709187337336,0.040089639768240655,0.9625135835933334,0.037486416406666584
13,0,Which bird's beak is also adapted to tear through meat?,vulture,vulture,1,4,1.0,179.5456125765248,13.395920214615078,0.07461012286727725,0.9305728097390118,0.0694271902609882,619,43,576,240.41232697888915,13.63559750704286,0.05671754721728647,0.9472224439464345,0.05277755605356544
17,1,Which of these states is farthest north?,alaska,alaska,1,4,1.0,151.055180694847,14.684366454221008,0.0972119353118085,0.9088044385348507,0.09119556146514933,614,38,576,251.08635130559915,15.237988781199459,0.06068824012920234,0.9430677095856342,0.05693229041436571
19,1,Which property do these three objects have in common?,color,color,1,4,0.75,170.72222747699695,14.840273117741443,0.0869264262601132,0.9184533851370925,0.08154661486290748,614,38,576,247.83702517316874,15.226623259530559,0.06143804885041454,0.942364305964432,0.057635694035568036
21,0,Identify the question that Tyrone and Quincy's experiment can best answer.,how does it work,what is the color of the sky,0,4,0.0,108.06692769884171,12.117662823489576,0.11213109395742964,0.8961615592934413,0.10383844070655864,622,46,576,105.31460885519401,12.084867631313426,0.11475015444371954,0.893736191383308,0.10626380861669205
22,1,Which animal's mouth is also adapted for bottom feeding?,fish,pig,0,4,0.0,221.524957776842,14.151324705001011,0.06388140120652526,0.9403635541410721,0.05963644585892796,617,41,576,255.46755259829163,14.264349313406274,0.055836246788789505,0.9478741034840474,0.052125896515952605
24,1,Which property do these two objects have in common?,color,color,1,4,1.0,204.15681041775434,15.041144870856684,0.07367447032542708,0.9308851874471563,0.06911481255284364,614,38,576,241.66434536525816,15.20424030452869,0.06291470213178772,0.9409790416483554,0.059020958351644504
25,0,"Based on the arrows, which of the following organisms is a consumer?",bear,herbivore,0,4,0.0,130.77854818003433,12.80875502279466,0.09794232464763013,0.9090084209725243,0.09099157902747573,620,44,576,167.9236460700306,13.071859491536545,0.07784406661873622,0.9276803510122709,0.07231964898772913
29,0,What is the expected ratio of offspring with black eyes to offspring with red eyes? Choose the most likely ratio.,1 1,1 1,1,4,1.0,127.93212956986402,11.114574615568493,0.0868786805389556,0.9203150955566267,0.0796849044433733,628,52,576,166.5260479858521,11.32369723205976,0.06799955543904947,0.9376309809985789,0.062369019001421167
32,0,Identify the question that Reba and Donald's experiment can best answer.,what is the effect of snow on the ground,what is the effect of light on the growth of plants,0,4,0.0,100.18917992942,12.697664113756131,0.12673688039667774,0.8820671355274856,0.11793286447251436,619,43,576,131.2916913315778,13.062605288908198,0.09949300794608949,0.9074184611034773,0.0925815388965227
33,0,Which term matches the picture?,skeleton,gray,0,4,0.0,133.74682933331664,15.924130488350382,0.11906174200709553,0.8875744862359229,0.1124255137640771,610,34,576,212.20257992404115,16.614739994812087,0.07829659752845326,0.9260674751206737,0.07393252487932636
35,1,Does this passage describe the weather or the climate?,weather,weather,1,4,0.5,193.01489296329376,15.33104592101144,0.07942934187947348,0.9253649250855192,0.07463507491448079,613,37,576,238.7503231204632,15.55341662898994,0.06514511237391017,0.9387869743436016,0.06121302565639846
37,1,Does this passage describe the weather or the climate?,weather,weather,1,4,0.75,258.2823956645233,15.62574992226169,0.06049870291027343,0.9431529316862683,0.05684706831373164,613,37,576,238.7503231204632,15.55341662898994,0.06514511237391017,0.9387869743436016,0.06121302565639846
41,0,"Is the following statement about our solar system true or false?
The volume of Mars is more than three times as large as Mercury's.",true,true,1,4,1.0,209.23578781207164,10.593632498007157,0.05063011738470855,0.9539289927115449,0.046071007288455174,633,57,576,264.5155687059075,10.696621155441493,0.04043853149276881,0.9632028528596606,0.03679714714033939
49,0,Select the bird below.,woodpecker,none,0,4,0.0,149.3630571175523,16.95653828335732,0.11352565092459323,0.8924493833345959,0.10755061666540411,608,32,576,355.2854325731911,18.08381101924479,0.05089938781973395,0.9517795273286731,0.0482204726713269
